,0,1
174,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,215
101,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,215
35,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,215
21,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=1.0_pft=0.3_kde=25.0_characters.txt,216
114,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,216
232,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,216
6,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,216
5,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,216
23,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,216
239,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,217
214,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,217
58,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,217
14,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,217
159,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.3_kde=25.0_characters.txt,217
148,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,217
59,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.0_pft=0.8_kde=25.0_characters.txt,217
172,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,218
141,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.3_kde=25.0_characters.txt,218
107,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,218
112,hfm=1.5_bcm=8.0_bksm=0.2_lscm=1.0_clem=2.25_pft=0.5_kde=25.0_characters.txt,218
185,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,218
22,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,218
202,hfm=1.5_bcm=18.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.5_kde=25.0_characters.txt,218
201,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,218
231,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,219
133,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,219
222,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,219
164,hfm=1.5_bcm=8.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,219
242,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,219
196,hfm=1.5_bcm=8.0_bksm=0.3_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,219
188,hfm=1.5_bcm=8.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.8_kde=25.0_characters.txt,219
